#author,papers,pagerank,hindex,affsChangeTimes,affsChangeFreq,citations,isSameAff,isAncestor,betweenness
2149809093,26,0.0008282731523533921,9,0,0.75,249,0.6,0.6,0.0011807406996127382
2008277149,8,0.00029709970644966395,3,1,1.75,490,0.5714285714285714,0.8571428571428571,7.093584695991427e-05
2618713803,2,0.00019430636133746754,1,0,0.0,3,1.0,0.6666666666666666,0.0
248646318,42,0.0001497248517420543,9,1,1.875,403,0.7,0.9,0.00030322487551633044
2200892348,2,0.00015352717898663805,0,0,0.0,0,0.3333333333333333,1.0,0.0
2751222758,3,7.214811864256244e-05,1,0,0.5,5,0.5,1.0,4.269614860256332e-06
2181212428,6,7.388867857299832e-05,4,1,1.9166666666666667,52,1.0,1.0,0.0
2113665458,19,0.00018515715495853334,10,2,2.933333333333333,1923,0.6666666666666666,0.9166666666666666,0.0016287124242339215
2542417237,2,9.24137912599609e-05,2,0,0.75,7,0.5,1.0,0.0
2144802550,36,0.0001355482972783984,12,2,2.9285714285714284,2919,0.6666666666666666,0.8666666666666667,0.0006019937311789773
2666048107,14,0.00023677820792885321,7,1,1.8,108,0.6666666666666666,0.8333333333333334,0.0006802365897147515
2564483380,5,0.00013097264231445388,3,0,0.75,26,0.8,0.6,1.5501312065422832e-05
2122391114,204,0.00033080037504122325,65,2,2.9583333333333335,20274,0.8235294117647058,0.8431372549019608,0.00331350058250064
2141784236,3,7.669796212439155e-05,1,1,1.6666666666666667,380,1.0,1.0,0.0
2279876130,21,0.00011960808440928745,11,3,3.9,971,0.6,0.5,0.0008848461523667192
1988556028,58,8.52363324357194e-05,34,4,4.944444444444445,10155,0.8181818181818182,0.8636363636363636,0.003675718709694122
2756724044,2,0.00011490697897352666,2,0,0.0,5,0.75,0.75,9.351537722946628e-06
2182080890,95,0.0001822452894970127,25,13,13.928571428571429,4476,0.5588235294117647,0.7647058823529411,0.00858788145355122
2000068689,5,7.51300117552882e-05,1,0,0.8571428571428572,9,1.0,0.25,0.0
2098086841,46,0.0003198967744099525,12,0,0.96875,634,0.9,0.8,0.001656865060925953
